Chrom_loc	Prob_A	Prob_C	Prob_G	Prob_T
1	0.27848	0.20758	0.21305	0.30088
2	0.2748	0.21143	0.21717	0.2966
3	0.28206	0.20491	0.20989	0.30314
4	0.27155	0.21432	0.22084	0.29329
5	0.26945	0.21619	0.22178	0.29257
6	0.27714	0.20927	0.21436	0.29923
7	0.26754	0.21916	0.22408	0.28922
8	0.27075	0.21772	0.22209	0.28944
9	0.27174	0.2148	0.22044	0.29303
10	0.27826	0.20928	0.21372	0.29875
11	0.26405	0.22182	0.22821	0.28592
12	0.27374	0.21009	0.21724	0.29893
13	0.27585	0.20763	0.21379	0.30274
14	0.27477	0.20927	0.21611	0.29985
15	0.27014	0.21423	0.22041	0.29522
16	0.27729	0.20855	0.21391	0.30024
17	0.26677	0.21849	0.22403	0.29072
18	0.27523	0.20946	0.21514	0.30018
19	0.26895	0.21456	0.22116	0.29534
X	0.28888	0.19527	0.19922	0.31664
Y	0.28733	0.18961	0.19439	0.32867
